0,ETH 10 m,69.55888888888889,-49.35277777777778,1176
1,Swiss Camp,69.56472222222222,-49.33083333333334,1176
2,Crawford Point1,69.87555555555555,-47.01722222222222,2022
3,NASA-U,73.8411111111111,-49.51916666666666,2334
4,GITS,77.13722222222223,-61.041666666666664,1869
5,Humboldt,78.52777777777777,-56.84055555555556,1995
6,Summit,72.57944444444443,-38.50555555555555,3215
7,Tunu-N,78.01805555555555,-33.97222222222222,2052
8,DYE-2,66.48166666666667,-46.288333333333334,2099
9,JAR 1,69.49444444444444,-49.70722222222223,932
10,Saddle,65.99972222222222,-44.50194444444445,2467
11,South Dome,63.14888888888889,-44.81722222222223,2901
12,NASA-E,75.00138888888888,-29.986944444444447,2614
13,Crawford P2,69.91333333333334,-46.85472222222222,1990
14,NGRIP,75.09944444444444,-42.33305555555556,2941
15,NASA-SE,66.47833333333334,-42.49611111111111,2373
16,KAR,69.69944444444445,-33.005833333333335,2579
17,JAR 2,69.41472222222222,-50.09277777777778,507
18,KULU,65.75833333333334,-39.60166666666667,878
19,JAR3,69.39444444444445,-50.309999999999995,283
20,Aurora,67.13583333333334,-47.29222222222222,1798
21,Petermann Glacier,80.68361111111112,-60.293055555555554,37
22,Peterman ELA,80.09416666666667,-58.12111111111111,965
23,NEEM,77.44111111111111,-51.08166666666667,2454
