Full name,Identifier,url
BSD Source Code Attribution,BSD-Source-Code,https://spdx.org/licenses/preview/BSD-Source-Code.html#licenseText
Boost Software License 1.0,BSL-1.0,https://spdx.org/licenses/preview/BSL-1.0.html#licenseText
bzip2 and libbzip2 License v1.0.5,bzip2-1.0.5,https://spdx.org/licenses/preview/bzip2-1.0.5.html#licenseText
bzip2 and libbzip2 License v1.0.6,bzip2-1.0.6,https://spdx.org/licenses/preview/bzip2-1.0.6.html#licenseText
Caldera License,Caldera,https://spdx.org/licenses/preview/Caldera.html#licenseText
Computer Associates Trusted Open Source License 1.1,CATOSL-1.1,https://spdx.org/licenses/preview/CATOSL-1.1.html#licenseText
Common Development and Distribution License 1.0,CDDL-1.0,https://spdx.org/licenses/preview/CDDL-1.0.html#licenseText
Common Development and Distribution License 1.1,CDDL-1.1,https://spdx.org/licenses/preview/CDDL-1.1.html#licenseText
Community Data License Agreement Permissive 1.0,CDLA-Permissive-1.0,https://spdx.org/licenses/preview/CDLA-Permissive-1.0.html#licenseText
Community Data License Agreement Sharing 1.0,CDLA-Sharing-1.0,https://spdx.org/licenses/preview/CDLA-Sharing-1.0.html#licenseText
CeCILL Free Software License Agreement v2.1,CECILL-2.1,https://spdx.org/licenses/preview/CECILL-2.1.html#licenseText
CERN Open Hardware Licence v1.1,CERN-OHL-1.1,https://spdx.org/licenses/preview/CERN-OHL-1.1.html#licenseText
CERN Open Hardware Licence v1.2,CERN-OHL-1.2,https://spdx.org/licenses/preview/CERN-OHL-1.2.html#licenseText
Clarified Artistic License,ClArtistic,https://spdx.org/licenses/preview/ClArtistic.html#licenseText
CNRI Jython License,CNRI-Jython,https://spdx.org/licenses/preview/CNRI-Jython.html#licenseText
CNRI Python License,CNRI-Python,https://spdx.org/licenses/preview/CNRI-Python.html#licenseText
CNRI Python Open Source GPL Compatible License Agreement,CNRI-Python-GPL-Compatible,https://spdx.org/licenses/preview/CNRI-Python-GPL-Compatible.html#licenseText
Condor Public License v1.1,Condor-1.1,https://spdx.org/licenses/preview/Condor-1.1.html#licenseText
copyleft-next 0.3.0,copyleft-next-0.3.0,https://spdx.org/licenses/preview/copyleft-next-0.3.0.html#licenseText
copyleft-next 0.3.1,copyleft-next-0.3.1,https://spdx.org/licenses/preview/copyleft-next-0.3.1.html#licenseText
Common Public Attribution License 1.0,CPAL-1.0,https://spdx.org/licenses/preview/CPAL-1.0.html#licenseText
Common Public License 1.0,CPL-1.0,https://spdx.org/licenses/preview/CPL-1.0.html#licenseText
Code Project Open License 1.02,CPOL-1.02,https://spdx.org/licenses/preview/CPOL-1.02.html#licenseText
Crossword License,Crossword,https://spdx.org/licenses/preview/Crossword.html#licenseText
CrystalStacker License,CrystalStacker,https://spdx.org/licenses/preview/CrystalStacker.html#licenseText
CUA Office Public License v1.0,CUA-OPL-1.0,https://spdx.org/licenses/preview/CUA-OPL-1.0.html#licenseText
Cube License,Cube,https://spdx.org/licenses/preview/Cube.html#licenseText
curl License,curl,https://spdx.org/licenses/preview/curl.html#licenseText
Deutsche Freie Software Lizenz,D-FSL-1.0,https://spdx.org/licenses/preview/D-FSL-1.0.html#licenseText
diffmark license,diffmark,https://spdx.org/licenses/preview/diffmark.html#licenseText
DOC License,DOC,https://spdx.org/licenses/preview/DOC.html#licenseText
Dotseqn License,Dotseqn,https://spdx.org/licenses/preview/Dotseqn.html#licenseText
DSDP License,DSDP,https://spdx.org/licenses/preview/DSDP.html#licenseText
dvipdfm License,dvipdfm,https://spdx.org/licenses/preview/dvipdfm.html#licenseText
Educational Community License v1.0,ECL-1.0,https://spdx.org/licenses/preview/ECL-1.0.html#licenseText
Educational Community License v2.0,ECL-2.0,https://spdx.org/licenses/preview/ECL-2.0.html#licenseText
Eiffel Forum License v1.0,EFL-1.0,https://spdx.org/licenses/preview/EFL-1.0.html#licenseText
Eiffel Forum License v2.0,EFL-2.0,https://spdx.org/licenses/preview/EFL-2.0.html#licenseText
eGenix.com Public License 1.1.0,eGenix,https://spdx.org/licenses/preview/eGenix.html#licenseText
Entessa Public License v1.0,Entessa,https://spdx.org/licenses/preview/Entessa.html#licenseText
Eclipse Public License 1.0,EPL-1.0,https://spdx.org/licenses/preview/EPL-1.0.html#licenseText
Eclipse Public License 2.0,EPL-2.0,https://spdx.org/licenses/preview/EPL-2.0.html#licenseText
Erlang Public License v1.1,ErlPL-1.1,https://spdx.org/licenses/preview/ErlPL-1.1.html#licenseText
EU DataGrid Software License,EUDatagrid,https://spdx.org/licenses/preview/EUDatagrid.html#licenseText
European Union Public License 1.0,EUPL-1.0,https://spdx.org/licenses/preview/EUPL-1.0.html#licenseText
