Full name,Identifier,url
Linux Kernel Variant of OpenIB.org license,Linux-OpenIB,https://spdx.org/licenses/preview/Linux-OpenIB.html#licenseText
Lucent Public License Version 1.0,LPL-1.0,https://spdx.org/licenses/preview/LPL-1.0.html#licenseText
Lucent Public License v1.02,LPL-1.02,https://spdx.org/licenses/preview/LPL-1.02.html#licenseText
LaTeX Project Public License v1.0,LPPL-1.0,https://spdx.org/licenses/preview/LPPL-1.0.html#licenseText
LaTeX Project Public License v1.1,LPPL-1.1,https://spdx.org/licenses/preview/LPPL-1.1.html#licenseText
LaTeX Project Public License v1.2,LPPL-1.2,https://spdx.org/licenses/preview/LPPL-1.2.html#licenseText
LaTeX Project Public License v1.3a,LPPL-1.3a,https://spdx.org/licenses/preview/LPPL-1.3a.html#licenseText
LaTeX Project Public License v1.3c,LPPL-1.3c,https://spdx.org/licenses/preview/LPPL-1.3c.html#licenseText
MakeIndex License,MakeIndex,https://spdx.org/licenses/preview/MakeIndex.html#licenseText
MirOS License,MirOS,https://spdx.org/licenses/preview/MirOS.html#licenseText
MIT License,MIT,https://spdx.org/licenses/preview/MIT.html#licenseText
MIT No Attribution,MIT-0,https://spdx.org/licenses/preview/MIT-0.html#licenseText
Enlightenment License (e16),MIT-advertising,https://spdx.org/licenses/preview/MIT-advertising.html#licenseText
CMU License,MIT-CMU,https://spdx.org/licenses/preview/MIT-CMU.html#licenseText
enna License,MIT-enna,https://spdx.org/licenses/preview/MIT-enna.html#licenseText
feh License,MIT-feh,https://spdx.org/licenses/preview/MIT-feh.html#licenseText
MIT +no-false-attribs license,MITNFA,https://spdx.org/licenses/preview/MITNFA.html#licenseText
Motosoto License,Motosoto,https://spdx.org/licenses/preview/Motosoto.html#licenseText
mpich2 License,mpich2,https://spdx.org/licenses/preview/mpich2.html#licenseText
Mozilla Public License 1.0,MPL-1.0,https://spdx.org/licenses/preview/MPL-1.0.html#licenseText
Mozilla Public License 1.1,MPL-1.1,https://spdx.org/licenses/preview/MPL-1.1.html#licenseText
Mozilla Public License 2.0,MPL-2.0,https://spdx.org/licenses/preview/MPL-2.0.html#licenseText
Mozilla Public License 2.0 (no copyleft exception),MPL-2.0-no-copyleft-exception,https://spdx.org/licenses/preview/MPL-2.0-no-copyleft-exception.html#licenseText
Microsoft Public License,MS-PL,https://spdx.org/licenses/preview/MS-PL.html#licenseText
Microsoft Reciprocal License,MS-RL,https://spdx.org/licenses/preview/MS-RL.html#licenseText
Matrix Template Library License,MTLL,https://spdx.org/licenses/preview/MTLL.html#licenseText
Multics License,Multics,https://spdx.org/licenses/preview/Multics.html#licenseText
Mup License,Mup,https://spdx.org/licenses/preview/Mup.html#licenseText
NASA Open Source Agreement 1.3,NASA-1.3,https://spdx.org/licenses/preview/NASA-1.3.html#licenseText
Naumen Public License,Naumen,https://spdx.org/licenses/preview/Naumen.html#licenseText
Net Boolean Public License v1,NBPL-1.0,https://spdx.org/licenses/preview/NBPL-1.0.html#licenseText
University of Illinois/NCSA Open Source License,NCSA,https://spdx.org/licenses/preview/NCSA.html#licenseText
Net-SNMP License,Net-SNMP,https://spdx.org/licenses/preview/Net-SNMP.html#licenseText
NetCDF license,NetCDF,https://spdx.org/licenses/preview/NetCDF.html#licenseText
Newsletr License,Newsletr,https://spdx.org/licenses/preview/Newsletr.html#licenseText
Nethack General Public License,NGPL,https://spdx.org/licenses/preview/NGPL.html#licenseText
Norwegian Licence for Open Government Data,NLOD-1.0,https://spdx.org/licenses/preview/NLOD-1.0.html#licenseText
No Limit Public License,NLPL,https://spdx.org/licenses/preview/NLPL.html#licenseText
Nokia Open Source License,Nokia,https://spdx.org/licenses/preview/Nokia.html#licenseText
Netizen Open Source License,NOSL,https://spdx.org/licenses/preview/NOSL.html#licenseText
Noweb License,Noweb,https://spdx.org/licenses/preview/Noweb.html#licenseText
Netscape Public License v1.0,NPL-1.0,https://spdx.org/licenses/preview/NPL-1.0.html#licenseText
Netscape Public License v1.1,NPL-1.1,https://spdx.org/licenses/preview/NPL-1.1.html#licenseText
Non-Profit Open Software License 3.0,NPOSL-3.0,https://spdx.org/licenses/preview/NPOSL-3.0.html#licenseText
NRL License,NRL,https://spdx.org/licenses/preview/NRL.html#licenseText
NTP License,NTP,https://spdx.org/licenses/preview/NTP.html#licenseText
Open CASCADE Technology Public License,OCCT-PL,https://spdx.org/licenses/preview/OCCT-PL.html#licenseText
OCLC Research Public License 2.0,OCLC-2.0,https://spdx.org/licenses/preview/OCLC-2.0.html#licenseText
ODC Open Database License v1.0,ODbL-1.0,https://spdx.org/licenses/preview/ODbL-1.0.html#licenseText
Open Data Commons Attribution License v1.0,ODC-By-1.0,https://spdx.org/licenses/preview/ODC-By-1.0.html#licenseText
SIL Open Font License 1.0,OFL-1.0,https://spdx.org/licenses/preview/OFL-1.0.html#licenseText
SIL Open Font License 1.1,OFL-1.1,https://spdx.org/licenses/preview/OFL-1.1.html#licenseText
Open Government Licence v1.0,OGL-UK-1.0,https://spdx.org/licenses/preview/OGL-UK-1.0.html#licenseText
Open Government Licence v2.0,OGL-UK-2.0,https://spdx.org/licenses/preview/OGL-UK-2.0.html#licenseText
Open Government Licence v3.0,OGL-UK-3.0,https://spdx.org/licenses/preview/OGL-UK-3.0.html#licenseText
Open Group Test Suite License,OGTSL,https://spdx.org/licenses/preview/OGTSL.html#licenseText
Open LDAP Public License v1.1,OLDAP-1.1,https://spdx.org/licenses/preview/OLDAP-1.1.html#licenseText
Open LDAP Public License v1.2,OLDAP-1.2,https://spdx.org/licenses/preview/OLDAP-1.2.html#licenseText
Open LDAP Public License v1.3,OLDAP-1.3,https://spdx.org/licenses/preview/OLDAP-1.3.html#licenseText
Open LDAP Public License v1.4,OLDAP-1.4,https://spdx.org/licenses/preview/OLDAP-1.4.html#licenseText
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B),OLDAP-2.0,https://spdx.org/licenses/preview/OLDAP-2.0.html#licenseText
Open LDAP Public License v2.0.1,OLDAP-2.0.1,https://spdx.org/licenses/preview/OLDAP-2.0.1.html#licenseText
Open LDAP Public License v2.1,OLDAP-2.1,https://spdx.org/licenses/preview/OLDAP-2.1.html#licenseText
Open LDAP Public License v2.2,OLDAP-2.2,https://spdx.org/licenses/preview/OLDAP-2.2.html#licenseText
Open LDAP Public License v2.2.1,OLDAP-2.2.1,https://spdx.org/licenses/preview/OLDAP-2.2.1.html#licenseText
Open LDAP Public License 2.2.2,OLDAP-2.2.2,https://spdx.org/licenses/preview/OLDAP-2.2.2.html#licenseText
Open LDAP Public License v2.3,OLDAP-2.3,https://spdx.org/licenses/preview/OLDAP-2.3.html#licenseText
Open LDAP Public License v2.4,OLDAP-2.4,https://spdx.org/licenses/preview/OLDAP-2.4.html#licenseText
Open LDAP Public License v2.5,OLDAP-2.5,https://spdx.org/licenses/preview/OLDAP-2.5.html#licenseText
Open LDAP Public License v2.6,OLDAP-2.6,https://spdx.org/licenses/preview/OLDAP-2.6.html#licenseText
Open LDAP Public License v2.7,OLDAP-2.7,https://spdx.org/licenses/preview/OLDAP-2.7.html#licenseText
Open LDAP Public License v2.8,OLDAP-2.8,https://spdx.org/licenses/preview/OLDAP-2.8.html#licenseText
Open Market License,OML,https://spdx.org/licenses/preview/OML.html#licenseText
OpenSSL License,OpenSSL,https://spdx.org/licenses/preview/OpenSSL.html#licenseText
Open Public License v1.0,OPL-1.0,https://spdx.org/licenses/preview/OPL-1.0.html#licenseText
OSET Public License version 2.1,OSET-PL-2.1,https://spdx.org/licenses/preview/OSET-PL-2.1.html#licenseText
Open Software License 1.0,OSL-1.0,https://spdx.org/licenses/preview/OSL-1.0.html#licenseText
Open Software License 1.1,OSL-1.1,https://spdx.org/licenses/preview/OSL-1.1.html#licenseText
Open Software License 2.0,OSL-2.0,https://spdx.org/licenses/preview/OSL-2.0.html#licenseText
Open Software License 2.1,OSL-2.1,https://spdx.org/licenses/preview/OSL-2.1.html#licenseText
Open Software License 3.0,OSL-3.0,https://spdx.org/licenses/preview/OSL-3.0.html#licenseText
The Parity Public License 6.0.0,Parity-6.0.0,https://spdx.org/licenses/preview/Parity-6.0.0.html#licenseText
ODC Public Domain Dedication & License 1.0,PDDL-1.0,https://spdx.org/licenses/preview/PDDL-1.0.html#licenseText
PHP License v3.0,PHP-3.0,https://spdx.org/licenses/preview/PHP-3.0.html#licenseText
PHP License v3.01,PHP-3.01,https://spdx.org/licenses/preview/PHP-3.01.html#licenseText
Plexus Classworlds License,Plexus,https://spdx.org/licenses/preview/Plexus.html#licenseText
PostgreSQL License,PostgreSQL,https://spdx.org/licenses/preview/PostgreSQL.html#licenseText
psfrag License,psfrag,https://spdx.org/licenses/preview/psfrag.html#licenseText
psutils License,psutils,https://spdx.org/licenses/preview/psutils.html#licenseText
Python License 2.0,Python-2.0,https://spdx.org/licenses/preview/Python-2.0.html#licenseText
Qhull License,Qhull,https://spdx.org/licenses/preview/Qhull.html#licenseText
Q Public License 1.0,QPL-1.0,https://spdx.org/licenses/preview/QPL-1.0.html#licenseText
Rdisc License,Rdisc,https://spdx.org/licenses/preview/Rdisc.html#licenseText
Red Hat eCos Public License v1.1,RHeCos-1.1,https://spdx.org/licenses/preview/RHeCos-1.1.html#licenseText
Reciprocal Public License 1.1,RPL-1.1,https://spdx.org/licenses/preview/RPL-1.1.html#licenseText
Reciprocal Public License 1.5,RPL-1.5,https://spdx.org/licenses/preview/RPL-1.5.html#licenseText
RealNetworks Public Source License v1.0,RPSL-1.0,https://spdx.org/licenses/preview/RPSL-1.0.html#licenseText
RSA Message-Digest License,RSA-MD,https://spdx.org/licenses/preview/RSA-MD.html#licenseText
Ricoh Source Code Public License,RSCPL,https://spdx.org/licenses/preview/RSCPL.html#licenseText
Ruby License,Ruby,https://spdx.org/licenses/preview/Ruby.html#licenseText
Sax Public Domain Notice,SAX-PD,https://spdx.org/licenses/preview/SAX-PD.html#licenseText
Saxpath License,Saxpath,https://spdx.org/licenses/preview/Saxpath.html#licenseText
SCEA Shared Source License,SCEA,https://spdx.org/licenses/preview/SCEA.html#licenseText
Sendmail License,Sendmail,https://spdx.org/licenses/preview/Sendmail.html#licenseText
Sendmail License 8.23,Sendmail-8.23,https://spdx.org/licenses/preview/Sendmail-8.23.html#licenseText
SGI Free Software License B v1.0,SGI-B-1.0,https://spdx.org/licenses/preview/SGI-B-1.0.html#licenseText
SGI Free Software License B v1.1,SGI-B-1.1,https://spdx.org/licenses/preview/SGI-B-1.1.html#licenseText
SGI Free Software License B v2.0,SGI-B-2.0,https://spdx.org/licenses/preview/SGI-B-2.0.html#licenseText
Solderpad Hardware License v0.5,SHL-0.5,https://spdx.org/licenses/preview/SHL-0.5.html#licenseText
"Solderpad Hardware License, Version 0.51",SHL-0.51,https://spdx.org/licenses/preview/SHL-0.51.html#licenseText
Simple Public License 2.0,SimPL-2.0,https://spdx.org/licenses/preview/SimPL-2.0.html#licenseText
Sun Industry Standards Source License v1.1,SISSL,https://spdx.org/licenses/preview/SISSL.html#licenseText
Sun Industry Standards Source License v1.2,SISSL-1.2,https://spdx.org/licenses/preview/SISSL-1.2.html#licenseText
Sleepycat License,Sleepycat,https://spdx.org/licenses/preview/Sleepycat.html#licenseText
Standard ML of New Jersey License,SMLNJ,https://spdx.org/licenses/preview/SMLNJ.html#licenseText
Secure Messaging Protocol Public License,SMPPL,https://spdx.org/licenses/preview/SMPPL.html#licenseText
SNIA Public License 1.1,SNIA,https://spdx.org/licenses/preview/SNIA.html#licenseText
Spencer License 86,Spencer-86,https://spdx.org/licenses/preview/Spencer-86.html#licenseText
Spencer License 94,Spencer-94,https://spdx.org/licenses/preview/Spencer-94.html#licenseText
Spencer License 99,Spencer-99,https://spdx.org/licenses/preview/Spencer-99.html#licenseText
Sun Public License v1.0,SPL-1.0,https://spdx.org/licenses/preview/SPL-1.0.html#licenseText
"Server Side Public License, v 1",SSPL-1.0,https://spdx.org/licenses/preview/SSPL-1.0.html#licenseText
SugarCRM Public License v1.1.3,SugarCRM-1.1.3,https://spdx.org/licenses/preview/SugarCRM-1.1.3.html#licenseText
Scheme Widget Library (SWL) Software License Agreement,SWL,https://spdx.org/licenses/preview/SWL.html#licenseText
TAPR Open Hardware License v1.0,TAPR-OHL-1.0,https://spdx.org/licenses/preview/TAPR-OHL-1.0.html#licenseText
TCL/TK License,TCL,https://spdx.org/licenses/preview/TCL.html#licenseText
TCP Wrappers License,TCP-wrappers,https://spdx.org/licenses/preview/TCP-wrappers.html#licenseText
TMate Open Source License,TMate,https://spdx.org/licenses/preview/TMate.html#licenseText
TORQUE v2.5+ Software License v1.1,TORQUE-1.1,https://spdx.org/licenses/preview/TORQUE-1.1.html#licenseText
Trusster Open Source License,TOSL,https://spdx.org/licenses/preview/TOSL.html#licenseText
Technische Universitaet Berlin License 1.0,TU-Berlin-1.0,https://spdx.org/licenses/preview/TU-Berlin-1.0.html#licenseText
Technische Universitaet Berlin License 2.0,TU-Berlin-2.0,https://spdx.org/licenses/preview/TU-Berlin-2.0.html#licenseText
Upstream Compatibility License v1.0,UCL-1.0,https://spdx.org/licenses/preview/UCL-1.0.html#licenseText
Unicode License Agreement - Data Files and Software (2015),Unicode-DFS-2015,https://spdx.org/licenses/preview/Unicode-DFS-2015.html#licenseText
Unicode License Agreement - Data Files and Software (2016),Unicode-DFS-2016,https://spdx.org/licenses/preview/Unicode-DFS-2016.html#licenseText
Unicode Terms of Use,Unicode-TOU,https://spdx.org/licenses/preview/Unicode-TOU.html#licenseText
The Unlicense,Unlicense,https://spdx.org/licenses/preview/Unlicense.html#licenseText
Universal Permissive License v1.0,UPL-1.0,https://spdx.org/licenses/preview/UPL-1.0.html#licenseText
Vim License,Vim,https://spdx.org/licenses/preview/Vim.html#licenseText
VOSTROM Public License for Open Source,VOSTROM,https://spdx.org/licenses/preview/VOSTROM.html#licenseText
Vovida Software License v1.0,VSL-1.0,https://spdx.org/licenses/preview/VSL-1.0.html#licenseText
W3C Software Notice and License (2002-12-31),W3C,https://spdx.org/licenses/preview/W3C.html#licenseText
W3C Software Notice and License (1998-07-20),W3C-19980720,https://spdx.org/licenses/preview/W3C-19980720.html#licenseText
W3C Software Notice and Document License (2015-05-13),W3C-20150513,https://spdx.org/licenses/preview/W3C-20150513.html#licenseText
Sybase Open Watcom Public License 1.0,Watcom-1.0,https://spdx.org/licenses/preview/Watcom-1.0.html#licenseText
Wsuipa License,Wsuipa,https://spdx.org/licenses/preview/Wsuipa.html#licenseText
Do What The F*ck You Want To Public License,WTFPL,https://spdx.org/licenses/preview/WTFPL.html#licenseText
X11 License,X11,https://spdx.org/licenses/preview/X11.html#licenseText
Xerox License,Xerox,https://spdx.org/licenses/preview/Xerox.html#licenseText
XFree86 License 1.1,XFree86-1.1,https://spdx.org/licenses/preview/XFree86-1.1.html#licenseText
xinetd License,xinetd,https://spdx.org/licenses/preview/xinetd.html#licenseText
X.Net License,Xnet,https://spdx.org/licenses/preview/Xnet.html#licenseText
XPP License,xpp,https://spdx.org/licenses/preview/xpp.html#licenseText
XSkat License,XSkat,https://spdx.org/licenses/preview/XSkat.html#licenseText
Yahoo! Public License v1.0,YPL-1.0,https://spdx.org/licenses/preview/YPL-1.0.html#licenseText
Yahoo! Public License v1.1,YPL-1.1,https://spdx.org/licenses/preview/YPL-1.1.html#licenseText
Zed License,Zed,https://spdx.org/licenses/preview/Zed.html#licenseText
Zend License v2.0,Zend-2.0,https://spdx.org/licenses/preview/Zend-2.0.html#licenseText
Zimbra Public License v1.3,Zimbra-1.3,https://spdx.org/licenses/preview/Zimbra-1.3.html#licenseText
Zimbra Public License v1.4,Zimbra-1.4,https://spdx.org/licenses/preview/Zimbra-1.4.html#licenseText
zlib License,Zlib,https://spdx.org/licenses/preview/Zlib.html#licenseText
zlib/libpng License with Acknowledgement,zlib-acknowledgement,https://spdx.org/licenses/preview/zlib-acknowledgement.html#licenseText
Zope Public License 1.1,ZPL-1.1,https://spdx.org/licenses/preview/ZPL-1.1.html#licenseText
Zope Public License 2.0,ZPL-2.0,https://spdx.org/licenses/preview/ZPL-2.0.html#licenseText
Zope Public License 2.1,ZPL-2.1,https://spdx.org/licenses/preview/ZPL-2.1.html#licenseText
