slug,post_id,name,category
takopulan,23706,Takopulan,Territories
taivoan,23704,Taivoan,Territories
siraya,23702,Siraya,Territories
makatao,23700,Makatao,Territories
xoko,23673,Xokó,Territories
yanbaru,23670,Yanbaru,Territories
amami,23667,Amami,Territories
kunigami-2,23662,Kunigami,Territories
uchinaa,23658,Uchinaa,Territories
awakateka-2,23619,Awakateka,Territories
ijesa,23550,Ijesa,Territories
igbomina,23548,Igbomina,Territories
ife,23546,Ife,Territories
ibolo,23544,Ibolo,Territories
egba,23542,Egba,Territories
ijebu,23540,Ijebu,Territories
remo,23538,Remo,Territories
yewa,23536,Yewa,Territories
ekiti,23534,Ekiti,Territories
ikale,23531,Ikale,Territories
akoko,23529,Akoko,Territories
apoi,23526,Apoi,Territories
ibadan,23524,Ibadan,Territories
ibarapa,23522,Ibarapa,Territories
ilaje,23520,Ilaje,Territories
oke-ogun,23517,Oke-Ogun,Territories
awori,23514,Awori,Territories
ogu,23512,Ogu,Territories
cabecar,23280,Cabécar,Territories
truku-taroko,23223,Truku (Taroko),Territories
thao,23221,Thao,Territories
tao-yami,23219,Tao (Yami),Territories
tsou,23216,Tsou,Territories
kajkwakratxi-tapayuna,23106,Kajkwakratxi (Tapayuna),Territories
iny-karaja,23074,Iny Karajá,Territories
itya-mahadu,23069,Itya Mahãdu,Territories
balotipone,23050,Balotiponé,Territories
akuntsu,23033,Akuntsu,Territories
xipaya,23003,Xipaya,Territories
piro-manso-tiwa-tribe,22984,Piro/Manso/Tiwa Tribe,Territories
amanage,22855,Amanagé,Territories
asurini-2,22835,Asurini,Territories
sediq,22831,Sediq,Territories
sakizaya,22828,Sakizaya,Territories
saisiyat,22825,Saisiyat,Territories
rukai,22822,Rukai,Territories
pinuyumayan,22819,Pinuyumayan,Territories
paiwan,22816,Paiwan,Territories
kanakanavu,22813,Kanakanavu,Territories
kavalan,22810,Kavalan,Territories
hlaalua,22807,Hla'alua,Territories
bunun,22804,Bunun,Territories
atayal,22799,Atayal,Territories
pangcah-amis,22786,Pangcah (Amis),Territories
arogbo-ijaws,22779,Arogbo-Ijaws,Territories
towa-panka,22773,Towa Panka,Territories
mura,22739,Mura,Territories
jukude-maku,22712,Jukude/Máku,Territories
tyohom-dyapa,22700,Tyohom-Dyapa,Territories
tukuna-2,22696,Tükuna,Territories
tukuna,22692,Tukuna,Territories
nahukwa,22681,Nahukwá,Territories
matipu,22673,Matipu,Territories
kuikuro,22669,Kuikuro,Territories
kanoe,22626,Kanoê,Territories
emerillon,22551,Emérillon,Territories
wajapi,22536,Wajãpi,Territories
saramaka,22521,Saramaka,Territories
mawayama,22502,Mawayama,Territories
uruak-2,22420,Uruak,Territories
snaw-naw-as,22395,Snaw-naw-as,Territories
myaaku,22383,Myaaku,Territories
dunaan,22369,Dunaan,Territories
yaima,22339,Yaima,Territories
mako,22321,Mako,Territories
lax-kwalaams,22290,Lax Kw'Alaams,Territories
yabarana,22233,Yabarana,Territories
mapoyo-2,22228,Mapoyo,Territories
hitnu-macaguan,22162,Hitnü - Macaguán,Territories
wamonae,22154,Wamonae,Territories
saliba,22143,Sáliba,Territories
jiw,22136,Jiw,Territories
kakua-2,22112,Kakua,Territories
piro,21869,Piro,Territories
ngati-mutunga-o-wharekauri,21851,Ngati Mutunga o Wharekauri,Territories
ette-ennaka,21826,Ette  Ennaka,Territories
bungungu,21505,Bugungu,Territories
koasati-coushatta,21481,Koasati (Coushatta),Territories
alabama-2,21432,Alabama,Territories
resighini-rancheria-yurok,21199,Resighini Rancheria (Yurok),Territories
niuachi,21102,Niúachi,Territories
plains-miwok-3,21012,Plains Miwok,Territories
confederated-villages-of-lisjan,21001,Confederated Villages of Lisjan,Territories
steilacoom,20925,Steilacoom,Territories
vilela,20803,Vilela,Territories
weenhayek,20755,Weenhayek,Territories
lule,20746,Lule,Territories
iogys-2,20731,Iogys,Territories
guaycuru,20716,Guaycurú,Territories
chane,20701,Chané,Territories
abipones,20684,Abipones,Territories
gunun-a-atuk-gunun-a-kuna,20647,Günün a atük (Günün a küna),Territories
waymaq,20501,Waymaq,Territories
dau-pom-wintu,20499,Dau Pom Wintu,Territories
dau-nom-wintu,20496,Dau Nom Wintu,Territories
nor-rel-muk-wintu,20485,Nor Rel Muk Wintu,Territories
el-pom-wintu,20482,El Pom Wintu,Territories
klbal-pom-wintu,20476,Kl'bal Pom Wintu,Territories
nom-ti-pom-wintu,20474,Nom Ti Pom Wintu,Territories
nom-sus-wintu,20462,Nom Sus Wintu,Territories
vanyume,20438,Vanyumé,Territories
mount-tabor-indian-community,20435,Mount Tabor Indian Community,Territories
ogiek,20368,Ogiek,Territories
yaros,20248,Yaros,Territories
guenoa-muinanes,20246,Guenoa-Muinanes,Territories
bohanes,20243,Bohanes,Territories
chana,20241,Chaná,Territories
enlhet-enenlhet,20221,Enlhet-Enenlhet,Territories
guana,20219,Guaná,Territories
