id,lat,lon
KAPD,65.035,-147.50166666666667
KAEC,64.51138888888889,-165.295
KACG,56.85277777777778,-135.52916666666667
KAIH,59.46138888888889,-146.30305555555557
KABC,60.79194444444444,-161.8763888888889
KAHG,60.725833333333334,-151.3513888888889
KAKC,58.67944444444444,-156.62944444444446
KBMX,33.17222222222222,-86.76972222222223
KMOB,30.679444444444446,-88.23972222222223
KHTX,34.93055555555555,-86.08333333333333
KMXX,32.53666666666666,-85.78972222222222
KEOX,31.460555555555555,-85.45944444444444
KLZK,34.83638888888889,-92.26222222222222
KSRX,35.29055555555556,-94.36166666666666
KIWA,33.28916666666667,-111.67
KEMX,31.89361111111111,-110.63027777777778
KFSX,34.574444444444445,-111.19777777777779
KYUX,32.49527777777778,-114.65666666666667
KDAX,38.50111111111111,-121.67777777777778
KVTX,34.41166666666666,-119.17944444444444
KMUX,37.155277777777776,-121.89833333333334
KBHX,40.498333333333335,-124.29194444444444
KHNX,36.314166666666665,-119.63222222222221
KNKX,32.91888888888889,-117.04194444444444
KSOX,33.81777777777778,-117.63583333333334
KVBX,34.838055555555556,-120.39694444444446
KEYX,35.09777777777778,-117.56083333333333
KBBX,39.49611111111111,-121.63166666666666
KFTG,39.78666666666666,-104.54583333333333
KPUX,38.45944444444445,-104.18138888888889
KGJX,39.06222222222222,-108.21388888888889
KDOX,38.82555555555556,-75.43972222222223
KMLB,28.113333333333333,-80.65416666666667
KAMX,25.611111111111114,-80.41277777777778
KTBW,27.705555555555556,-82.40166666666667
KJAX,30.484722222222224,-81.70194444444445
KTLH,30.3975,-84.32888888888888
KBYX,24.5975,-81.70305555555557
KEVX,30.564444444444444,-85.9213888888889
KFFC,33.36361111111111,-84.56583333333333
KJGX,32.67527777777777,-83.35111111111111
KVAX,30.890277777777776,-83.00166666666667
KGUA,13.454444444444444,144.80833333333334
KHMO,21.13277777777778,-157.17999999999998
KHWA,19.095,-155.5688888888889
KHKM,20.125555555555557,-155.7777777777778
KHKI,21.894166666666667,-159.55222222222224
KDMX,41.73111111111111,-93.72277777777778
KDVN,41.611666666666665,-90.58083333333333
KCBX,43.49055555555556,-116.23555555555555
KSFX,43.10583333333334,-112.68611111111112
KLOT,41.60472222222222,-88.08472222222221
KILX,40.150555555555556,-89.33694444444444
KIND,39.7075,-86.28027777777778
KIWX,41.35888888888889,-85.7
KVWX,38.26027777777778,-87.72444444444444
KDDC,37.76083333333333,-99.96888888888888
KICT,37.65472222222222,-97.44277777777778
KTWX,38.996944444444445,-96.2325
KGLD,39.36694444444444,-101.70027777777779
KLVX,37.97527777777778,-85.94388888888889
KPAH,37.068333333333335,-88.77194444444444
KJKL,37.590833333333336,-83.31305555555555
KHPX,36.736666666666665,-87.285
KLIX,30.336666666666666,-89.82555555555555
KLCH,30.12527777777778,-93.21583333333334
KSHV,32.450833333333335,-93.84138888888889
KPOE,31.155555555555555,-92.97583333333334
KBOX,41.95583333333334,-71.13694444444445
KLWX,38.976111111111116,-77.4875
KGYX,43.89138888888889,-70.25638888888889
KCBW,46.03916666666667,-67.80638888888889
KDTX,42.69972222222222,-83.47166666666666
KGRR,42.89388888888889,-85.54472222222222
KMQT,46.53111111111111,-87.54833333333333
KAPX,44.907222222222224,-84.71972222222223
KMPX,44.848888888888894,-93.56555555555555
KDLH,46.83694444444445,-92.20972222222223
KLSX,38.69888888888889,-90.68277777777779
KEAX,38.81027777777778,-94.26444444444445
KSGF,37.23527777777778,-93.40055555555556
KJAN,32.31777777777778,-90.08
KDGX,32.27972222222222,-89.98416666666667
KGWX,33.89666666666667,-88.32888888888888
KTFX,47.459722222222226,-111.38527777777779
KMSX,47.04111111111111,-113.98611111111111
KBLX,45.85388888888889,-108.60666666666665
KGGW,48.20638888888889,-106.625
KMHX,34.77611111111111,-76.8761111111111
KLTX,33.989444444444445,-78.42888888888889
KRAX,35.66555555555556,-78.48972222222223
KBIS,46.770833333333336,-100.76055555555556
KMVX,47.52777777777778,-97.32555555555555
KMBX,48.3925,-100.865
KUEX,40.32083333333334,-98.44194444444445
KOAX,41.32027777777778,-96.36666666666666
KLNX,41.95777777777778,-100.57638888888889
KDIX,39.94694444444444,-74.41083333333334
KABX,35.14972222222222,-106.82388888888889
KFDX,34.63527777777778,-103.63
KHDX,33.07638888888889,-106.12277777777777
KRGX,39.75416666666667,-119.46222222222222
KESX,35.70111111111111,-114.8913888888889
KLRX,40.73972222222222,-116.80277777777778
KOKX,40.86555555555556,-72.86388888888888
KBGM,42.19972222222222,-75.98472222222222
KENX,42.58638888888889,-74.06388888888888
KBUF,42.94888888888889,-78.73666666666666
KTYX,43.755833333333335,-75.68
KCLE,41.41305555555555,-81.85972222222222
KILN,39.42027777777778,-83.82166666666666
KTLX,35.33305555555556,-97.27777777777777
KINX,36.175,-95.56472222222222
KFDR,34.36222222222222,-98.97638888888889
KVNX,36.740833333333335,-98.12777777777777
KRTX,45.71472222222223,-122.96527777777779
KMAX,42.08111111111111,-122.71722222222222
KPDT,45.690555555555555,-118.85277777777777
KPBZ,40.531666666666666,-80.21805555555555
KCCX,40.92305555555555,-78.00361111111111
KJUA,18.115555555555556,-66.07805555555555
KCAE,33.948611111111106,-81.11833333333333
KGSP,34.88333333333333,-82.22
KCLX,32.65555555555555,-81.04222222222222
KABR,45.45583333333334,-98.41305555555556
KFSD,43.58777777777778,-96.72944444444444
KUDX,44.125,-102.82972222222222
KNQA,35.344722222222224,-89.87333333333332
KMRX,36.16861111111111,-83.40166666666667
KOHX,36.24722222222222,-86.5625
KAMA,35.233333333333334,-101.70916666666668
KHGX,29.471944444444443,-95.07916666666667
KFWS,32.573055555555555,-97.30305555555556
KEWX,29.703888888888887,-98.02833333333334
KLBB,33.65416666666667,-101.81416666666667
KMAF,31.943333333333335,-102.18916666666667
KBRO,25.91611111111111,-97.41888888888889
KEPZ,31.873055555555556,-106.69805555555556
KSJT,31.37138888888889,-100.4925
KCRP,27.784166666666668,-97.5111111111111
KGRK,30.721944444444443,-97.38305555555554
KDYX,32.538333333333334,-99.25444444444445
KDFX,29.272777777777776,-100.28055555555555
KMTX,41.26277777777778,-112.44777777777779
KICX,37.590833333333336,-112.86222222222221
