POCN35,POCN35,35.000,-137.000,  10.0
POCN40,POCN40,40.000,-136.000,  10.0
POCN45,POCN45,45.000,-131.000,  10.0
POCS05,POCS05,-5.000,-159.000,  10.0
POCS10,POCS10,-10.000,-161.000,  10.0
POCS15,POCS15,-15.000,-171.000,  10.0
POCS20,POCS20,-20.000,-174.000,  10.0
POCS25,POCS25,-25.000,-171.000,  10.0
POCS30,POCS30,-30.000,-176.000,  10.0
POCS35,POCS35,-35.000,180.000,  10.0
PSA,PSA,-64.920,-64.000,  10.0
PSM,PSM,47.030,-113.980,2462.0
PSU,PSU,40.720,-77.930, 376.0
PTA,PTA,38.955,-123.741,  17.0
PTH,PTH,-31.917,115.967,   5.0
RAL,RAL,35.730,-78.680, 124.0
RIA,RIA,42.400,-91.840, 298.7
RPB,RPB,13.165,-59.432,  15.0
RTA,RTA,-21.250,-159.830,   3.0
SAN,SAN,-2.850,-54.950,  78.0
SCA,SCA,32.770,-79.550,   0.0
SCE,SCE,-2.000,-77.500,   0.0
SCR,SCR, 9.980,-84.210, 899.0
SCSN03,SCSN03, 3.000,105.000,  15.0
SCSN06,SCSN06, 6.000,107.000,  15.0
SCSN09,SCSN09, 9.000,109.000,  15.0
SCSN12,SCSN12,12.000,111.000,  15.0
SCSN15,SCSN15,15.000,113.000,  15.0
SCSN18,SCSN18,18.000,113.500,  15.0
SCSN21,SCSN21,21.000,114.000,  15.0
SCT,SCT,33.406,-81.833, 115.2
SDZ,SDZ,40.650,117.117, 293.0
SEA,SEA,47.680,-122.250,  20.0
SEY,SEY,-4.682, 55.532,   2.0
SGI,SGI,-54.000,-38.050,  30.0
SGP,SGP,36.607,-97.489, 314.0
SHM,SHM,52.711,174.126,  23.0
SIO,SIO,32.830,-117.270,  14.0
SLC,SLC,40.770,-111.970,1288.0
SMO,SMO,-14.247,-170.564,  42.0
SNP,SNP,38.617,-78.350,1008.0
SPO,SPO,-89.980,-24.800,2810.0
STC,STC,54.000,-35.000,   6.0
STM,STM,66.000,  2.000,   0.0
STR,STR,37.755,-122.452, 254.0
SUM,SUM,72.596,-38.422,3209.5
SUV,SUV,-18.000,178.000,   0.0
SVA,SVA,38.980,-77.470,  85.0
SXF,SXF,43.734,-96.622, 473.0
SYO,SYO,-69.000, 39.575,   0.0
TAL,TAL,30.430,-84.330,  53.0
TAM,TAM,22.780,  5.520,1377.0
TAP,TAP,36.738,126.133,  16.0
TBL,TBL,40.130,-105.240,1689.0
TDF,TDF,-54.848,-68.311,  12.0
TGC,TGC,27.730,-96.860,   0.0
THD,THD,41.054,-124.151, 107.0
TIK,TIK,71.597,128.889,  31.0
TLH,TLH,30.380,-84.370,  18.0
ULB,ULB,47.400,106.000,1350.0
USH,USH,-54.820,-68.330,  20.0
UTA,UTA,39.902,-113.718,1327.0
UUM,UUM,44.452,111.096,1007.0
VAA,VAA,32.910,-79.360, 239.9
WAI,WAI,37.860,-75.510,  13.0
WBI,WBI,41.725,-91.353, 241.7
WGC,WGC,38.265,-121.491,   0.0
WHI,WHI,50.059,-122.958,2182.0
WIS,WIS,30.860, 34.781, 477.0
WKT,WKT,31.315,-97.327, 251.0
WLG,WLG,36.288,100.896,3810.0
WSA,WSA,43.933,-60.017,   5.0
WVR,WVR,40.731,-122.942, 613.0
ZEP,ZEP,78.907, 11.889, 474.0


#added by jeffmc:
N00,N00, 0.000,-155.000,  10.0
N05,N05, 5.000,-151.000,  10.0
N10,N10,10.000,-149.000,  10.0
N15,N15,15.000,-145.000,  10.0
N20,N20,20.000,-141.000,  10.0
N25,N25,25.000,-139.000,  10.0
N30,N30,30.000,-135.000,  10.0
N35,N35,35.000,-137.000,  10.0
N40,N40,40.000,-136.000,  10.0
N45,N45,45.000,-131.000,  10.0
S05,S05,-5.000,-159.000,  10.0
S10,S10,-10.000,-161.000,  10.0
S15,S15,-15.000,-171.000,  10.0
S20,S20,-20.000,-174.000,  10.0
S25,S25,-25.000,-171.000,  10.0
S30,S30,-30.000,-176.000,  10.0
S35,S35,-35.000,180.000,  10.0

N03,N03, 3.000,105.000,  15.0
N06,N06, 6.000,107.000,  15.0
N09,N09, 9.000,109.000,  15.0
N12,N12,12.000,111.000,  15.0
N15,N15,15.000,113.000,  15.0
N18,N18,18.000,113.500,  15.0
N21,N21,21.000,114.000,  15.0
